127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-admin/js/edit-comments.min.js?ver=6.4.3 HTTP/1.0" 200 15349
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/jquery/ui/core.min.js?ver=1.13.2 HTTP/1.0" 200 21438
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/jquery/jquery.query.js?ver=2.2.3 HTTP/1.0" 200 3694
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/jquery/ui/mouse.min.js?ver=1.13.2 HTTP/1.0" 200 3402
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/jquery/ui/sortable.min.js?ver=1.13.2 HTTP/1.0" 200 25449
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-admin/js/postbox.min.js?ver=6.4.3 HTTP/1.0" 200 6705
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/dist/vendor/moment.min.js?ver=2.29.4 HTTP/1.0" 200 57925
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/dist/deprecated.min.js?ver=73ad3591e7bc95f4777a HTTP/1.0" 200 729
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/dist/date.min.js?ver=936c461ad5dce9c2c8ea HTTP/1.0" 200 783709
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-admin/js/dashboard.min.js?ver=6.4.3 HTTP/1.0" 200 8797
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/thickbox/thickbox.js?ver=3.1-20121105 HTTP/1.0" 200 13242
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/wp-sanitize.min.js?ver=6.4.3 HTTP/1.0" 200 458
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-admin/js/plugin-install.min.js?ver=6.4.3 HTTP/1.0" 200 2403
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-admin/js/updates.min.js?ver=6.4.3 HTTP/1.0" 200 41620
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/shortcode.min.js?ver=6.4.3 HTTP/1.0" 200 2643
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-admin/js/media-upload.min.js?ver=6.4.3 HTTP/1.0" 200 1152
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-admin/js/svg-painter.js?ver=6.4.3 HTTP/1.0" 200 5522
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5Bchunk_0%5D=dashicons,admin-bar,site-health,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-poi&load%5Bchunk_1%5D=nter,widgets,site-icon,l10n,buttons,wp-auth-check&ver=6.4.3 HTTP/1.0" 200 395903
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=jquery-core,jquery-migrate,utils&ver=6.4.3 HTTP/1.0" 200 102997
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5Bchunk_0%5D=hoverIntent,wp-polyfill-inert,regenerator-runtime,wp-polyfill,wp-hooks&ver=6.4.3 HTTP/1.0" 200 136054
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/heartbeat.min.js?ver=6.4.3 HTTP/1.0" 200 6013
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/wp-auth-check.min.js?ver=6.4.3 HTTP/1.0" 200 1658
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/jquery/ui/menu.min.js?ver=1.13.2 HTTP/1.0" 200 10114
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/wplink.min.js?ver=6.4.3 HTTP/1.0" 200 11253
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/jquery/ui/autocomplete.min.js?ver=1.13.2 HTTP/1.0" 200 8466
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/thickbox/loadingAnimation.gif HTTP/1.0" 200 15238
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "GET /wp-includes/js/wp-emoji-release.min.js?ver=6.4.3 HTTP/1.0" 200 18692
127.0.0.1 - - [29/Mar/2024:15:51:53 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 572
